n_id,nbName,nwName,nbyear,enter
89,컨스피러시 :미디어제국을 무너뜨린 보이지 않는 손,라이언 홀리데이 지음,2021,20221027
90,장애인차별금지법 해설서,장애인법연구회 지음,2021,20221027
91,최강 기업의 탄생 :세계 최고의 상품?서비스?기업에게서 배우는 비즈니스 모델 전략,알렉산더 오스터왈더,2021,20221027
92,(전기홍의) 카페 창업 X파일 :10년 후에도 살아남을 카페 만들기,전기홍 지음,2021,20221027
93,전략으로 승부하다 호모 스트라테지쿠스 :게임이론으로 풀어 쓴 세상사 100선 =Homo strategicus,김재한 지음,2021,20221027
94,초일류 :앞으로 10년 유망기업 보고서,다이애나 홍 지음,2021,20221027
95,창고 공장부지 투자전략과 기술 :고수만 아는 불패의 황금토지를 잡아라,이인수 지음,2021,20221027
96,해양인문학의 이해,윤홍주,2021,20221027
97,한국사회복지조직의 성장과 과제 :인간화(人間化)와 다공화(多公化),성규탁,2021,20221027
98,한 장 보고서 끝장내기 :한눈에 엄지척! 핵심을 꿰뚫는 일잘러의 보고서,윤홍준 지음,2021,20221027
99,학교 폭력을 넘어 :외상 후 성장으로 : 2021 학교폭력예방법 학교장 해결제를 위한 열쇠,이동갑,2021,20221027
100,하버드 지혜 수업 :78가지 사례로 배우는 행복과 성공을 위한 연금술,무천강 지음,2021,20221027
101,하나의 중국,강병환 지음,2021,20221027
102,플랫폼 비즈니스의 미래 :디지털 플랫폼 전쟁에서 어떻게 승리할 것인가 =The future of platform business,이성열,2021,20221027
103,프레시니스 코드 :지금 글로벌 패션하우스들은 어떻게 유혹하는가 =Freshness code,조엘 킴벡 지음,2021,20221027
104,표트르 크로포트킨 평전 :모든 권력에 반대한 창조인 아나키스트,박홍규 지음,2021,20221027
105,(편하게 쓰는) 나의 자서전,윤덕주,2021,20221027
106,퍼시스턴트 라이프 :발명가의 시대는 계속된다 =Persistent life,김영욱 지음,2021,20221027
107,펠렐리우 비행장 :서부 태평양 전쟁 =Pelelieu field,권주혁 지음,2021,20221027
108,(패스트트랙아시아 박지웅의) 이기는 게임을 하라,박지웅 지음,2021,20221027
109,팔리는 책쓰기 망하는 책쓰기 :출판 27년 차 베테랑이 알려주는 팔리는 책쓰기의 모든 것 .[1] 기획과 마인드 편,장치혁 지음,2021,20221027
110,판다의 발톱 캐나다에 침투한 중국 공산당,조너선 맨소프 지음,2021,20221027
111,전통놀이를 찾아서,박두빈,2021,20221027
112,전환의 질문 질문의 전환,구도완,2021,20221027
113,팀워크의 부활 :실리콘밸리 최고의 경영 컨설턴트가 알려주는 팀이 빠지기 쉬운 5가지 함정,패트릭 렌시오니 지음,2021,20221027
114,정답 없는 입시 균형이 답이다 .[2] 학습균형 중등편,최영득,2021,20221027
115,투자를 위한 생각의 틀 :성공과 실패를 가르는 금융?경제 지식,임경,2021,20221027
116,중국회사법 =中?公司法,김건식,2021,20221027
117,중국 갑질 2천 년 :그들이 지리멸렬할 때 아시아는 평화로웠고 그들이 강성할 때 우리는 피눈물을 흘렸다,황대일 지음,2021,20221027
118,죽은 역학자들 :코로나19의 기원과 맑스주의 역학자의 지도,롭 월러스 글,2021,20221027
119,정말로 머리가 좋아지는 세계 최고의 아이 영어 :공부 머리 좋아지는 영어 공부법,사이토 준 지음,2021,20221027
120,죽는 게 참 어렵습니다,김영화,2021,20221027
121,좋은 돌봄 :돌봄받을 권리 돌볼 권리 돌봄노동자,국민입법센터 지음,2021,20221027
122,조선이 한국에게 보내는 편지 :한반도의 국제정치,박건영 지음,2021,20221027
123,조선에서 백수로 살기 :'청년 연암'에게 배우는 포스트 코로나 시대를 사는 법,고미숙 지음,2021,20221027
124,젠더와 소수자의 시각으로 본 중국 코로나 =China's Corona from the perspective of gender and minorities,김미란,2021,20221027
125,정치철학사 :플라톤부터 존 롤스까지,오트프리트 회페 지음,2021,20221027
126,정치사상과 사회발전 :이홍구 선생 미수 기념 문집,김홍우 외 15인 지음,2021,20221027
127,차이 차별 처벌 :혐오와 불평등에 맞서는 법,이민규 지음,2021,20221027
128,집을 사유하다 :집 걱정 해소를 위한 담론,한기용 지음,2021,20221027
129,집값 올리기가 젤 쉬웠어요! :대한민국 부동산 정책의 현주소와 정책 해결책,이종인 지음,2021,20221027
130,진짜 아픈 사람 맞습니다 :교도소로 출근하는 청년 의사 그가 만난 감춰진 세계,최세진 지음,2021,20221027
131,직업 보람과 즐거움의 이중주,박종천 지음,2021,20221027
132,지식산업센터 백문백답 :지식산업센터의 핵심을 담은 입문서,최필주 지음,2021,20221027
133,지구를 위한 변론 :미래 세대와 자연의 권리를 위하여,강금실 지음,2021,20221027
134,정답 없는 입시 균형이 답이다 .[1] 학습균형 초등편,최옥찬,2021,20221027
135,전환기 행정사례연구 =The case study of public administration in transitional period,전환기행정학회 저,2021,20221027
136,하고 싶은 일을 하며 살기로 했다 :스타트업을 꿈꾸는 MZ들에게 아이돌 출신 스타트업 CEO가 말하는 창업 노하우,노영태 지음,2021,20221027
137,정년퇴직 후 생계 걱정하는 나라,조광현 글,2021,20221027
138,정책의 이해,길종백,2021,20221027
139,정치의 가벼움을 사유하다 :민주주의를 외면하는 우리의 정치 비판할 수밖에 없다!,정인대 지음,2021,20221027
140,인생에서 중요한 6가지만 기억하라 :삶을 풍요롭게 하는 단순화의 힘,줄리아 홉스봄 지음,2021,20221027
141,조국을 부정한다,김정은 글,2021,20221027
142,인테그리티 :성과를 만드는 성품의 힘,헨리 클라우드 지음,2021,20221027
143,조선 사회주의자 열전 :새로운 세계를 꿈꾼 인간 그들의 삶과 생각을 다시 찾아서,박노자 지음,2021,20221027
144,일 잘하는 공무원은 문장부터 다릅니다 :공직자를 위한 말하기와 글쓰기,박창식 지음,2021,20221027
145,조선의 읍성 :남해안 지역을 중심으로,이일갑 지음,2021,20221027
146,종교민속학과 이야기,편무영,2021,20221027
147,주식 데이트레이딩의 신 100법칙 :돈 버는 민첩성과 판단력을 갈고닦는 100가지 비결,이시이 카츠토시 지음,2021,20221027
148,주식은 어떻게 움직이는가 :20년 연속 초보 투자자의 바이블,마이클 버켓 지음,2021,20221027
149,죽고 싶은 아이들을 살리기 위해서 :청소년 자해와 자살 예방 감시방법론,유규진 지음,2021,20221027
150,준특허법 =June patent law,박형준 편저,2021,20221027
151,2도가 오르기 전에 :기후위기의 지구를 지키기 위해 알아야 할 모든 것,남성현 지음,2021,20221027
152,한?미얀마 경제협력 확대 방안 :농업부문을 중심으로 : 2020년 한?미얀마공동심포지엄 : 제65차 사단법인 한아세안포럼 국제심포지엄,박상원 저외 지음,2021,20221027
153,프리랜서로 일하는 법 :나를 지키며 지속 가능하게 일하는 태도의 발견,이다혜 지음,2021,20221027
154,팔리는 책쓰기 망하는 책쓰기 :출판 27년 차 베테랑이 알려주는 팔리는 책쓰기의 모든 것 .[2] 실전 테크닉 편,장치혁 지음,2021,20221027
155,(중국을 이기는) 비즈니스 게임,최승훈 지음,2021,20221027
156,인공지능 :미래를 위해 반드시 알아야 할 101가지 사항들,라세 로우하이에넨 저,2021,20221027
157,상상과 현실이 통하다 :화학으로 세상보기,김성식,2021,20221027
158,핵발전소 이제 그만! :월성원자력발전소1호기 폐쇄운동 백서 : 월성1호기 건설에서 폐쇄가지(1977~2020),경주환경운동연합 [저],2021,20221027
159,항공 기내식 서비스 =In-flight meal service,예경희,2021,20221027
160,탐험의 시대 세 리더 이야기 :길을 개척한 섀클턴 탐험에 성공한 아문센 목적에 충실한 스콧,서강석 저,2021,20221027
161,뇌와 세계 :인간 우주의 신경생물학적 기원,미겔 니코렐리스 지음,2021,20221027
162,한반도 전쟁과 생존 :북핵과 미사일 어디에 떨어지고 어디가 안전할까?,문계성 지음,2021,20221027
163,통일로 평화를 노래하라 :김광수의 통일 담론,김광수 지음,2021,20221027
164,(한눈에 보는) 경영학 =Management,정대훈 지음,2021,20221027
